from,to,amount,tx_hash,block
0xe1f0b97eab890171fe2f3408db38c8d872c39be4,0x3b46c790ff408e987928169bd1904b6d71c00305,0.5872,0x5f6260ac63072f9500d5fd6937f261592fa985a4d3051316807dd1e9fbe89ea6,7138989
0x87ed477bce8edc5dcf37edd30d4e5b5f844a153b,0x3b46c790ff408e987928169bd1904b6d71c00305,0.1087,0xacd0c7ca3035becfe69d0c44d0365d2f39890705e98a9da71ef2d3eeedbc1ce5,7138990
0xbf25728837ddadddde82d9159abbb3f7397933d5,0x3b46c790ff408e987928169bd1904b6d71c00305,0.1087,0x162fea3fba065f7a51b9d0acdbb0b3033b174b702b0071b21a0eb7192e6df17e,7138991
0x30d1230c53e14b951b08d1e4dfe496f70acc1385,0x3b46c790ff408e987928169bd1904b6d71c00305,0.1086,0x7ae439085ee52cca4e6f17b203a3881c122b7555787dd3462067c5af333a8133,7138993
0x22f952de80751df011385b3436ad8209aa91217d,0x3b46c790ff408e987928169bd1904b6d71c00305,0.1086,0x75c74f3e193fc03d770f75a01bef641e431d07ac5c480608ac96ffcb575719ee,7138993
0x6eefa6a276073a9781c5ece1fb2d283ecfc980ab,0x3b46c790ff408e987928169bd1904b6d71c00305,0.5237,0x32da0228127f46b0894557d80748ec7eba406cf4b882080a52e760bdbabe5c5b,7138995
0xbd67fc6a4c6a7a0834b8fd1119f9637e80cd6152,0x3b46c790ff408e987928169bd1904b6d71c00305,0.4997,0xc7ab7011940819a09f587ebf3a2c607a65c2a0a5b9264695cf4941aa912df02c,7138997
0xe9df5945c76d13c83c2e79b6487c013320d21187,0x3b46c790ff408e987928169bd1904b6d71c00305,0.1084,0x4e3f331377d501b23bef905162fae6fd70aa4d07e2026d9b91f211c884bbc0bd,7138998
0x22fed71424c324b613098c332667daff4e4da1cf,0x3b46c790ff408e987928169bd1904b6d71c00305,0.4991,0x97bbb0db348f94e67d6b946a52159c4ffd6e7ae89c0f62a1051745250391cdad,7138998
0x984d2254f1706955e6c061a48abcbcd5dfcbd749,0x3b46c790ff408e987928169bd1904b6d71c00305,0.4944,0x48d36629d2e9e6bcc26ad24de5ece14f4699fc8a3ace20494e6b0e12fef339af,7138998
0xccaa10734db901b97151225a688b817aa9ddb3e5,0x3b46c790ff408e987928169bd1904b6d71c00305,0.4825,0x69e2035a9407313f13bf135956c90317148a6ec5c472da2ab3a2813ad64e561f,7138998
0x41e63660420e0cd29d7c6253b7da2e2cc70252df,0x3b46c790ff408e987928169bd1904b6d71c00305,0.1081,0x8ebb9cb9db357879e31575c2b1c9cf62aab4b00748a990fc5051c8b6b3bcf16b,7138998
0x40c4fbf32cfcfe3a9b25e98e43a525de9b4558d5,0x3b46c790ff408e987928169bd1904b6d71c00305,0.1079,0x69e87dddba8ee80b0a5d8905b483892e9349418297785b2e79990262fe64f4fb,7139000
0xb932c26d14e5ffca14d32dee6cb7192e0afce048,0x3b46c790ff408e987928169bd1904b6d71c00305,0.1078,0x02f82877748875ba28a77f46d93e00690c20d62b2dd8237de38e27f3f771c2eb,7139002
0x07d8752b0de898c1f270d1c4b45f0f68f09c5885,0x3b46c790ff408e987928169bd1904b6d71c00305,0.1077,0xfa293df1a69564ad90be61b1c98a31f61d69dff97c285c64eb0128d49a23ca9a,7139003
0xe7b6245e8cf51b65b97dad62d9b1c38b7ec5e7d4,0x3b46c790ff408e987928169bd1904b6d71c00305,0.1077,0x0d57a38839765771c19c4b36111a59d400db028e2216e409be63c470d27fb31a,7139003
0xdd4e5dedb1b915dd5e0cd6e1747bc19bb105b60b,0x3b46c790ff408e987928169bd1904b6d71c00305,0.4192,0xee471ed138bd410ad6b7d3d0c5c5be8c2f1d56fffe318d0c8cb2832765f58707,7139003
0x07e3c5c448936ff130f8753453184e7cec9dfce9,0x3b46c790ff408e987928169bd1904b6d71c00305,0.4167,0xfefce8a9e861a6e69a80c6011b48841f35f39b53174dfc943c48d6296d5ebbca,7139003
0x63527df3ea42251a74d284bc5b1549e67b77f4b6,0x3b46c790ff408e987928169bd1904b6d71c00305,0.1077,0xdd445f7f33a573116b93405b1579c86ae29452636c338acdc0bbec9caf857083,7139003
0x51ae6fda8fad10228f1aad36ab295ba72e9e2f8b,0x3b46c790ff408e987928169bd1904b6d71c00305,0.4031,0x034e18b0f6301a2f0e25f175e8b349ebd4bd0064cce7a6d27b257f709c187656,7139003
0x31d12d4a90a48cdc6674790596f4ddad85664994,0x3b46c790ff408e987928169bd1904b6d71c00305,0.1076,0x2142775e8971f770e89e66ba356b4fb77bbe995139af7b221fe6cd0aa8e55ce6,7139005
0x730bb9ba263d3534555814d14b7570e36e051d44,0x3b46c790ff408e987928169bd1904b6d71c00305,0.1075,0x2d8c3d6e7c6128f76d929f95b0927fabe7b84592cf70e9dde8f661c204cc2bea,7139007
0xa30b85463538d406676a1c5a89e4d627abbbf900,0x3b46c790ff408e987928169bd1904b6d71c00305,0.1074,0xdfa74063c1bf6966b29d907f9ed7602b003d0776b8d7a41256445d58abd2da64,7139008
0x92c8be7746d2ec514e988ae5d942cbe3286a6f7e,0x3b46c790ff408e987928169bd1904b6d71c00305,0.1074,0x17afa7f3d3a6f6574538642bdf343e501dcd7810f01f144575d0b69d4cc9257d,7139010
0x49fda54766680f482d517aa12e0f06520e0f0d32,0x3b46c790ff408e987928169bd1904b6d71c00305,0.1073,0x098fec408b0999e0df76233fa5911c52c5b203e77a4646564c7377208214a580,7139012
0x5e3f77ae8e40aaefd8805ffeda2372d29d0785c4,0x3b46c790ff408e987928169bd1904b6d71c00305,0.1072,0x5d51efc332f17a68a2c0c71605b5a28aed4c12cdadee2755289f1747759dd91c,7139013
0x7155d93f9b87a216a716ff53db4954221195f8e6,0x3b46c790ff408e987928169bd1904b6d71c00305,0.1071,0x4a3dc493393129e17efbe1a761207a79f2f0e8b9d03a6f2b3fea388baebdc560,7139013
0xb85f75f9a15115fa366cec220c4c0205589aecd6,0x3b46c790ff408e987928169bd1904b6d71c00305,0.3924,0xb8f8d70dfe23e8804ce5879d485879e2a500dd69212c61086dca4cf5092a4ac8,7139014
0xc5a4608362c93ff9a5198c57d1d2572dee9150fa,0x3b46c790ff408e987928169bd1904b6d71c00305,0.107,0x4dac8bddde978c475de05d6a96ef1fa1bcc8bf8886870e57e14c01087857c2bc,7139015
0xaeda8083b6bb00202d13f49b335c81c65cc15cc1,0x3b46c790ff408e987928169bd1904b6d71c00305,0.1069,0x2f5092bd783cadb0107f39b9098d651edeb71c1f46c32760e0ca0feeb21eba0b,7139017
0x9ff433afb050547f84c20a0d80b6114311cd9d25,0x3b46c790ff408e987928169bd1904b6d71c00305,0.1069,0x49e829073c1bed12fd822780d48f0937cd8fd40acc5d5370243b7e1a6325e40b,7139018
0x04a66d44eb6fca8f57300e5081fe1bb57025ac27,0x3b46c790ff408e987928169bd1904b6d71c00305,0.3814,0x7cef9667e355c7ab5c07318cfdb4c0f902ba4c6a4ab48ea4c3aa04b11804e957,7139019
0x92f0bfacc29ac91a3e32f5aa15b1e663083832ba,0x3b46c790ff408e987928169bd1904b6d71c00305,0.1067,0x9ab36efc330f76d7f561033aca443b51371750ee6fcbeff6873b156d2acafd6e,7139020
0x4f4e0bfd949ed2a29e3a1b307b41bb55c7f5602a,0x3b46c790ff408e987928169bd1904b6d71c00305,0.1066,0xc69aa97709dd9cc4413cf144d35f853950b0bbe090804cf5581b1bfda392661a,7139021
0x746bf784dc27dfd0f3bb1ad9ab19104063b7b321,0x3b46c790ff408e987928169bd1904b6d71c00305,0.1066,0x45f2f1c63ba0a95ca4d0038fa37330d5e6adab3164d375742489a328c40e6849,7139021
0x267b170d81b850a7a92ebdc30b3aff776880d88a,0x3b46c790ff408e987928169bd1904b6d71c00305,0.3645,0x3eb3193c2df3389c9545fdfbe4b536dd0a032792cc318f39fe4ac1009dd764d2,7139022
0xd3899138514e1ddadfba395d3bb84ec8d24583b5,0x3b46c790ff408e987928169bd1904b6d71c00305,0.1065,0x3262a0da092ef1032dbb85e2e1f526d2625a4c38f5cece70233e902ce7fb3e96,7139023
0x79bd71a4765d41343aaa1a3e4f03ef6dc804f3cc,0x3b46c790ff408e987928169bd1904b6d71c00305,0.1064,0x051480725eb4a2b2a573468b04aba90582859ca2fab14d2fd33f4e5c2bde4f62,7139023
0x048da93745a4717bb5b6d2c061d46718162a4efc,0x3b46c790ff408e987928169bd1904b6d71c00305,0.1066,0xd5d154c595a7929c174deeed4cfb9dc5dfddc04c0c94fa99e5766876fb6236f2,7139023
0x502100ae5e67f3fed4372816e8c1461ba092b987,0x3b46c790ff408e987928169bd1904b6d71c00305,0.1062,0x7fd47cbe6145a2fecedb017ce55a4219df0922dc317ae35fd3a921e19e976eec,7139024
0x98ab44c41157783b0bb3ab0759b2a988bc30ee24,0x3b46c790ff408e987928169bd1904b6d71c00305,0.3522,0x468d4ee89416a837a8121409092a8e8380fd120335f74f58139d35c4523c72eb,7139024
0x0beafc9976d35ca09b8f72de222ff05de06b691f,0x3b46c790ff408e987928169bd1904b6d71c00305,0.1064,0x0b856146f97ab3d0a3fa95d04f513616b5c35608cbb818b8d81d6575effaf08f,7139024
0x475050b473f1419189019e3acac3f92aa239e0b3,0x3b46c790ff408e987928169bd1904b6d71c00305,0.1064,0x12b9cd7cd234aa6bbaa4cb70e095d92144bc911595465332ee734598f793b814,7139024
0x428ed24239873cc1c961adefaa7118fc5d9701e1,0x3b46c790ff408e987928169bd1904b6d71c00305,0.106,0x10642c75de090cb867b4886ce5f8f5391c82306b6d4b577a809580609ce46bf4,7139026
0x96c8becf6877bb5b7f4018914ee50f0420a43cf6,0x3b46c790ff408e987928169bd1904b6d71c00305,0.1058,0x45fccf21873ba4453effc780efe43b8f36791da57a7472d0137f41e9f830e8ce,7139029
0xd9610ae228a971401d8fc6ca501e7b83ee78f944,0x3b46c790ff408e987928169bd1904b6d71c00305,0.3335,0xc6af84514d240263f7dfcb681f763ca7cec4758fc07f6c09fb11a78b6a976849,7139031
0xfa67b180d85fcd85147f505d3fcfaead5de4194f,0x3b46c790ff408e987928169bd1904b6d71c00305,0.3295,0xbb1c0d8a7242e0291a2207adbc09d9ebedfcd09cb18124171f780cf0b9e803c1,7139031
0xb83d9bcb834d58467252b2932f021320ebe4c473,0x3b46c790ff408e987928169bd1904b6d71c00305,0.329,0xe319c2022d09308a9154381db060881562b042ca30e04962310edd7e3e552453,7139032
0x50168a5d064c6d288d7e8cd5e4a5d1f3101b31df,0x3b46c790ff408e987928169bd1904b6d71c00305,0.1057,0x694ea26020710459a9f5f49299a22cdccce4fd3fd6dc3a209d7c5d856713cbfc,7139033
0x039bf225c98b3d6673fc3b3605761c6e496b5ddf,0x3b46c790ff408e987928169bd1904b6d71c00305,0.1057,0x37ce6b84dfbea2d558fd4bc013ba0a01c417b632560ec210c68d20e4d13e20e4,7139033
0xb8b2a332ee6094ddcea1cbde4f8bd8b0e37fb6b6,0x3b46c790ff408e987928169bd1904b6d71c00305,0.1056,0xa5a70ae40551d7b41251ecbd657147ddecf5e68d4c42a78b3625b0fed9d37ae5,7139033
0xe3470f32a97459977191019332fa763720471d3a,0x3b46c790ff408e987928169bd1904b6d71c00305,0.1055,0xa04911ac65a67a5d506abf62a7a26cea4dd3a2b00d21cfeb153b8af1d92201ca,7139034
0xa41ae4a03856632f2a69d4f41d4f3a3aa619e1d8,0x3b46c790ff408e987928169bd1904b6d71c00305,0.3054,0xda1816aaeb69b0325a60feece660a041e9db8b5b88a7389b389d0e1f66540b69,7139036
0x8fb90341e72a536a1588b062b538352504e91b5b,0x3b46c790ff408e987928169bd1904b6d71c00305,0.1055,0xaa28728b27d8bea7d28a38e457a30c4ea1b9c02a335d91cafba0e0a86ddd2e58,7139036
0x6c897f4ee2830e5a341ff197cb4903518803cea4,0x3b46c790ff408e987928169bd1904b6d71c00305,0.1053,0x1a4d3166691203e87b8dded7a9e7162ac01cd74033cb1e496c4f685d9ff6ec73,7139036
0x055245b80afbee67aa033887c4fe93c868f52e6b,0x3b46c790ff408e987928169bd1904b6d71c00305,0.1055,0xd18cfb8d13cedc388e1998d8b458632876310998cd0fdff7b8004d47292de9b0,7139036
0x66f46987a95bbcb61e0f6189fef3600cf0a48284,0x3b46c790ff408e987928169bd1904b6d71c00305,0.3092,0xbd8c39975e5fa51f876af23802406edfa1b525dbe80e31a787dc03c1220d9655,7139036
0x124484485d61d0ace901288c8408b1e0bc06929d,0x3b46c790ff408e987928169bd1904b6d71c00305,0.1052,0x4df6c6e3775f30a24089e91bdba3d952914cbdd06f665cfbf4e8d1fefa0d4196,7139037
0x03cedd855347d6fa2dce0b23c701d6e82e69270a,0x3b46c790ff408e987928169bd1904b6d71c00305,0.2992,0x0ffe3808728fa98ded030bcc4b58089a29151163628564f828e07c0b7b60d66e,7139038
0x1a0bdbbffc7a9e557aaf35e873c08c5b844d96c4,0x3b46c790ff408e987928169bd1904b6d71c00305,0.299,0x80d3653081871c2186f3d11008d142be5c6cad66f54c7dbd2aded1576e8e50c9,7139039
0xfc2e563c517000c0e3ad2653cb8415f0787a7e1c,0x3b46c790ff408e987928169bd1904b6d71c00305,0.1051,0x6215ad594d089ff8e7ff4ace81f8a1c307da026d110c5a50335ead9a5d884f46,7139042
0x80041a286620b52fffc818fcb86527dfea616ae7,0x3b46c790ff408e987928169bd1904b6d71c00305,0.105,0xc8c170ebcaec339f4f85968e71a147ea0608aa8a1d7744b08c4bc77c59b2900c,7139043
0x235b33eeb575504105ad503c273e91467d8088f8,0x3b46c790ff408e987928169bd1904b6d71c00305,0.2773,0x18e2b1ddbdb373e9be9a4a0a459bb5e601bc74b071a34c25ddbc07509601b7e0,7139043
0x583cec5d3ef5d7a9f67506222e60845b49bff59b,0x3b46c790ff408e987928169bd1904b6d71c00305,0.105,0xf8d26a1cdbed6fafb48c07b37e36e5c56e945b0f91fcaa63e80ccb1196a9666f,7139043
0xc3dd79b4f7eb815ce53a51cee7740f0074d7a94c,0x3b46c790ff408e987928169bd1904b6d71c00305,0.105,0x4120c0528bf1a4472d7b02ed46bb47bf43b6ace753ad4fc6c0a89f3449e6ada3,7139043
0x55cc8ab4621f15e918fbc69d0ead77d1ab226872,0x3b46c790ff408e987928169bd1904b6d71c00305,0.1047,0xbdf614f2e1b25037f6acb80c6d381d0955ea581d84deb0be767aab6292785251,7139045
0xc0251bc6b84a7b2e7089266d9e7d7a974bb2a85a,0x3b46c790ff408e987928169bd1904b6d71c00305,0.1047,0x035a1a432c4884f0c320f4cacd9760c7aa20a68bc9450fe5b2a49298c66e7c3f,7139046
0x3d360d1d08f71faf30f58e8fe8f1c72eabbcc90e,0x3b46c790ff408e987928169bd1904b6d71c00305,0.2562,0x49346aec2b26b751e7a4d4f0f0afbad140f93e4596986b0463a87049d4e11bb0,7139046
0x6c3cfd2d52e2793801d4a1e51b92a43d5c45ffe9,0x3b46c790ff408e987928169bd1904b6d71c00305,0.1046,0xe6ac59e44da2a9395c151dfa46bab34540b78be21ecdc0854eab101c733e9d1f,7139046
0xb115d82ea40805d5a68a10851aaebc19b5f2e95d,0x3b46c790ff408e987928169bd1904b6d71c00305,0.1045,0x2aa766efe239f148e6978834feb78311ebf7b8b96b1f3d9c37586ab79b3a65a7,7139046
0x607bb0ac18841bcc4305c434d9b12cbcdd92f5a2,0x3b46c790ff408e987928169bd1904b6d71c00305,0.1044,0xd74a822e57758749574a1d51f2393f06eb6fab69212b893875840903bd01e7af,7139047
0x376bb9451a3fae3476cfa6955181995ced14662e,0x3b46c790ff408e987928169bd1904b6d71c00305,0.1042,0xb3ec134cee59111e7439ed5fb4821ad5fd452cfe98be1741bb5e65a02a03444f,7139048
0x933f4f7cf9237464fa605bca78e66a4bddf4c05a,0x3b46c790ff408e987928169bd1904b6d71c00305,0.1042,0xeaae71770a0c98e22a0c4634e2c11851f7aaf076c48e5e070093e9b58ae0209e,7139049
0xea4ceea3994fc0d2c0421f95812a5b4d6b0b3193,0x3b46c790ff408e987928169bd1904b6d71c00305,0.249,0x2608d72b79b7722f45cf53f5ef84f54cd58cba5faad6e39d75b79875ba193b15,7139050
0x6714f4bb0b2a3695bb44de9711f3a5ee8cf4efbb,0x3b46c790ff408e987928169bd1904b6d71c00305,0.1038,0x0edd7c2f4ff75b50e732f8a584a590b5f7462332016ddf32209899b0f736b4fa,7139050
0xdf1212c21996913b8837caed6fd55304a3dad0b7,0x3b46c790ff408e987928169bd1904b6d71c00305,0.1037,0x25ca1f64f06b24bc850a28f99ed440a20f33c13e52b10b014d8877ee947094e1,7139050
0xe31a5d33176b87aa050e3e9547693dbb97fb0c6e,0x3b46c790ff408e987928169bd1904b6d71c00305,0.1037,0xd5c9a76aa60b5ef11747a49f975be72caee131b66a7ae488db6b0b3b785fff33,7139050
0x59f74bc2bba0f6250682c7d5e9b3631f0b1b7076,0x3b46c790ff408e987928169bd1904b6d71c00305,0.1037,0x148edb3bc95bd7fbe97a96953e5deee2c30008ad40bf99daa37269b08f3f1684,7139051
0x01d57fad8a876a01a91cd5c3388ae588956e3e74,0x3b46c790ff408e987928169bd1904b6d71c00305,0.1037,0xfc589968b4ce478e311ab605b1f5e03ac26306bd536708a9f90a41da9aaa0496,7139052
0x87f5e02837a7e262297eebca36a116721b36602c,0x3b46c790ff408e987928169bd1904b6d71c00305,0.1036,0xc931570b7a4934d9880019622c31cce7c2e164ec8ee8ddd7a514f6cd0e537fdf,7139052
0x7192a07925520a43cc582a45dc32b3e44b8e5467,0x3b46c790ff408e987928169bd1904b6d71c00305,0.1036,0x42375ffa34f4d0f2db4af8a1c29127e0cbc58353995ccb4c94b15cfa7ecf700b,7139054
0x92ae0a564ac821e1445bd4d8dc3c3ec36536c3da,0x3b46c790ff408e987928169bd1904b6d71c00305,0.1035,0xd6cf3d731b54b50780d8adad9048629af14485c1a4014c9983ee919b958834cc,7139054
0x4efa537c699983b99fa1e4dcd7d8de4ccc378ed6,0x3b46c790ff408e987928169bd1904b6d71c00305,0.1035,0x8366f07149102f2f98827c8f4c65519d47a378030dae238c5415ea75b97a6821,7139054
0xd07876d7a3e265f07d665b74d9a923407faf9b11,0x3b46c790ff408e987928169bd1904b6d71c00305,0.1034,0x441b050df481c5caf5ad9f97ecf18c190c0248834ed80da9d767c53b4b7b32ca,7139055
0x0dabf92d8ebc8cda8188f7285a6c8e215a8a990a,0x3b46c790ff408e987928169bd1904b6d71c00305,0.2487,0xad9c6a786c800e0bdf9c23c68869606ebfdb6464c7fe140cb07ee304dc10b6e7,7139055
0x0e6b4c711671079565255ea69c33d9e66367a470,0x3b46c790ff408e987928169bd1904b6d71c00305,0.2487,0x0fded2d5ddfc02410c57fc189e516bb63f76b26ffdbf832b539c1b2174c07a6e,7139056
0xa68337caed6a113ed7b8775b8775c2975ba9dd84,0x3b46c790ff408e987928169bd1904b6d71c00305,0.2487,0xf756375ebded0b729cc1e7a6b90b75aad8e9feed7f2eaae8e4f3ff73d6ecad32,7139056
0xd59a053b842cfa4c1bfd2a82b15576e459a18e57,0x3b46c790ff408e987928169bd1904b6d71c00305,0.103,0xed95b18de5c7b0ec456678755a53cc70e8afec4b5e320625909760a37949eb7d,7139058
0xa8d9340fb6ea906cb9e77de5270f06b73ad02f84,0x3b46c790ff408e987928169bd1904b6d71c00305,0.2487,0x2503b117615872b7c46ab793160027d72fc2390de0bd3edfb9435abb2dd6614c,7139058
0xb3d05d17838ece686fcffddc06730ddb788cdf00,0x3b46c790ff408e987928169bd1904b6d71c00305,0.2487,0xfb8f5c3b3db9fca58e64c045bd9a6498bbf24d634a9a94bcd8a85bfe88294e56,7139058
0xd40784cebdb170a26444fd1baee8b7407a37a5ba,0x3b46c790ff408e987928169bd1904b6d71c00305,0.2487,0x905b5724f9d0512d37a3c04febe2e238eb5fee0785a21d37bd1c54aa38b218ec,7139059
0xb3dc30855928fd98d6750ce3a5b448047eca81eb,0x3b46c790ff408e987928169bd1904b6d71c00305,0.103,0xc39ecc5042d8fa629bd41be27258d794ac5ef4cb27f4ff6bf0b9164a9d05087f,7139059
0x3150bdc015917ab352e27428ba44e8c7cdca310d,0x3b46c790ff408e987928169bd1904b6d71c00305,0.1029,0x4601bbcf1e2177c5e2fe524f27d04ce8e3c180efc75cdfc09fad352f1670f35c,7139060
0xa2eee130651a4076be285d82f9efba644ee4d9c7,0x3b46c790ff408e987928169bd1904b6d71c00305,0.2487,0x17e74b30f0dbbbe8da9b483ebda04a8a646a569d9362f069967485d756658e36,7139062
0x0e84fac3f1e37eb869bac09af4459d886d21e997,0x3b46c790ff408e987928169bd1904b6d71c00305,0.2487,0x0387d397977d56f45227a1e5b45582e42999ab04f0dd474f1933f93284b1c554,7139062
0xca2efb92cf052ed3d75768493136a6a144765c7c,0x3b46c790ff408e987928169bd1904b6d71c00305,0.1027,0x336e228feed653b02231a1ef173cdccd16a12042609cf83001688610cddc2b6e,7139064
0xec87732647b54c3e3ef6df6e09f03015c419f06a,0x3b46c790ff408e987928169bd1904b6d71c00305,0.1026,0x20479447104da5f4df75ae1714116c6fa41227589483f583c63dd493e352fbac,7139066
0x24c6f47c7d98096c47b83712f0ec90c7396e29fb,0x3b46c790ff408e987928169bd1904b6d71c00305,0.2487,0xb8ab1ebe42d464b6fd95bddb91f8cabe89bb21b27b92faad55620f55e7f66296,7139066
0xc4abdbfd7d4ccba41ff2747686f2fe7e86ee09e1,0x3b46c790ff408e987928169bd1904b6d71c00305,0.1027,0xdf89fdd78dd6ea66c664dd60ee3c002991b7bab56f2d020e04bc9106faaa646a,7139066
0x8248141fd1cd895c7e7ad39f94d73ea6434460e4,0x3b46c790ff408e987928169bd1904b6d71c00305,0.1025,0xdab46a88c16bb46ef9b06a957b8a25eb6fbc57e1998a77dc2f0961c897f613f1,7139066
0x1d04ee48e4db2f05f85896fd08f7d204402df01a,0x3b46c790ff408e987928169bd1904b6d71c00305,0.1027,0x359a87860a338d6f14b98f1669237a45ab81a3dfd32f866292e628da3471592b,7139066
0xcd9b147ac9393b48310dfe23e63b515b47b46e3a,0x3b46c790ff408e987928169bd1904b6d71c00305,0.1024,0xda703f28325ca700ba278e21fde5081f3ac4080ef4b5f325a357b2e219e636fd,7139067
0x257698c1d989a89401cb1e039ceace150d14e791,0x3b46c790ff408e987928169bd1904b6d71c00305,0.2487,0xe9396638e659507079a3d4970e94b1024913e7a3d1b2b1f86aaed2bb98457454,7139067
0x55516888907931857b23eff9ed65e54a89a863fe,0x3b46c790ff408e987928169bd1904b6d71c00305,0.1022,0x688cbabae80130c18d752bbec13d89a9bfe4a50a8e0c40d0f9c92309cc2a7181,7139068
0x045ead3c7757fcdd5d599b10b1d410b0117a6957,0x3b46c790ff408e987928169bd1904b6d71c00305,0.1022,0xb546b204ce962adc1c2495fa3a6d1eb3cf589563f6a9d4cc6e3cdde0805d2b99,7139068
0x5b88c7d9c708474e21b04adcc33879828956e5e6,0x3b46c790ff408e987928169bd1904b6d71c00305,0.1022,0x21641d8cfba09c3981620bf7091929e294f2762e71c49e93aa5490597b572a38,7139069
0x94f1d232f90ca85c04d94a50f2a469ca96e0800b,0x3b46c790ff408e987928169bd1904b6d71c00305,0.1022,0xfb0900a3dfd64a4cab4d3e241d7189637861d5bf09167606547baaea4ce38ce9,7139070
0x1fa51a5a0267a1061f90de1174bd09b11925b993,0x3b46c790ff408e987928169bd1904b6d71c00305,0.2487,0xa7039385862ae2b4e05aa4d7b54795a0e599c3fd00cfc7eadb8e1ccb57b12215,7139070
0x0ffd1bfd39328e2efbd2e2b148a2c00d5c505248,0x3b46c790ff408e987928169bd1904b6d71c00305,0.102,0xfe0f2a76f8e9533a6154820f8cfdc775148db23c615aa4bf161ae4a7b4e03e10,7139071
0x1ea6715efd9f271014a979da11ddd6663ac00b13,0x3b46c790ff408e987928169bd1904b6d71c00305,0.1019,0xbc4f12e499781b2ce43b1291777e06899ca672805f521236494654da83431b8f,7139074
0x3358b28de16ce04f03f52331957e7bcfde41a133,0x3b46c790ff408e987928169bd1904b6d71c00305,0.2487,0x52363ba61e50581d94d205d3fa9c084ecfa09568dcb2152ea87763cd547b3efc,7139074
0xa620d2ed9b3d2d9d8082a246b5b85aace85a0362,0x3b46c790ff408e987928169bd1904b6d71c00305,0.1018,0x767e2f7c3be0bda01861ecdbbafad1198d030c6b50530c5e59e2b16f76e2aede,7139074
0xc2f18a63419e21f98bfc284afb8f5acd5490ef95,0x3b46c790ff408e987928169bd1904b6d71c00305,0.1017,0x709a5de82ecc008f3602d6e373174778a1d0978dd12245fcba762b37bbd7518b,7139077
0x2d6c3f4b96eb7bc87497d72a437817a88e25f133,0x3b46c790ff408e987928169bd1904b6d71c00305,0.2487,0x0bb9e3414c335272b5a0e01610971d08525886d582890adc8878f442ea6f8b6d,7139079
0xf4e39018d71527bbeb738c98e23ec0f3283c55e9,0x3b46c790ff408e987928169bd1904b6d71c00305,0.2487,0x015d718fbc2f0614cdacf45b3dbdfe31da52b0c290b93683ad7f69f493deb4c9,7139081
